Proposals,
Alternative One: Keep bike lanes as-is on Humboldt Street,[00:44:30]
Alternative Two: Humboldt Bike Boulevard (vehicles and bicycles cohabitating),[00:44:30]
Alternative Three: Partial removal of bike lanes with pilot bike boulevard on parallel streets (Fremont and Idaho),[00:44:30]
Alternative Four: Full bike lane removal without replacement,[00:44:30]
One-Way Humboldt Street conversion (proposed by Council Member Styrko-Kodatsky),[03:31:30]
Next Steps,
Move forward with street lighting improvements throughout the corridor,[04:15:00]
Move forward with traffic calming measures using existing federal grant funding,[04:15:00]
Start residential parking permit program focused on Humboldt Street area,[04:15:00]
Conduct high-level feasibility study of one-way Humboldt Street conversion before community engagement,[04:16:00]
Explore rideshare program partnership in conjunction with residential permit parking program,[04:16:30]
Return with budget appropriation recommendations for the directed work at a future council meeting,[04:19:00]
